feature,importance
severity_score,0.5036914
cases_total,0.16359018
deaths,0.16072066
log_deaths,0.102682434
log_cases,0.055839393
word_count,0.010122456
avg_sentence_length,0.0011130772
outbreak_relevance_score,0.0010610758
disease_outbreak_count,0.0005745617
week,0.0003219359
disease_country_count,0.0002828757
baseline_avg,0.0
spike_ratio_avg,0.0
year,0.0
month,0.0
search_volume_avg,0.0
search_volume_max,0.0
spike_ratio_max,0.0
numeric_entity_count,0.0
date_entity_count,0.0
person_count,0.0
org_count,0.0
location_count,0.0
entity_count,0.0
net_urgency,0.0
has_who_mention,0.0
escalation_language_flag,0.0
response_keyword_count,0.0
has_disease_in_text,0.0
sentence_count,0.0
has_country_in_text,0.0
risk_keyword_count,0.0
containment_score,0.0
urgency_score,0.0
is_peak_season,0.0
disease_fatality_weight,0.0
disease_risk_score,0.0
country_outbreak_count,0.0
is_endemic_country,0.0
case_fatality_ratio,0.0
has_deaths,0.0
season_risk,0.0
has_cases,0.0
cases_per_death,0.0
has_trend_data,0.0
spike_alert,0.0
spike_warning,0.0
disease_encoded,0.0
season_encoded,0.0
spike_level_encoded,0.0
