feature,importance
sentence_count,0.28335303
numeric_entity_count,0.07930073
entity_count,0.07721533
urgency_score,0.056492656
disease_encoded,0.045311194
escalation_language_flag,0.036785495
disease_risk_score,0.03481905
net_urgency,0.034158017
disease_country_count,0.030260973
disease_fatality_weight,0.029408788
disease_outbreak_count,0.023194702
year,0.023093266
country_outbreak_count,0.02247364
date_entity_count,0.021623675
avg_sentence_length,0.019382058
season_risk,0.018630002
has_disease_in_text,0.018200105
season_encoded,0.017569851
org_count,0.016204478
word_count,0.016149793
week,0.016057119
month,0.015517634
location_count,0.014859077
is_endemic_country,0.012940488
person_count,0.012633282
is_peak_season,0.012419501
has_country_in_text,0.011946023
baseline_avg,0.0
search_volume_avg,0.0
spike_ratio_avg,0.0
spike_ratio_max,0.0
search_volume_max,0.0
risk_keyword_count,0.0
containment_score,0.0
response_keyword_count,0.0
has_who_mention,0.0
spike_alert,0.0
has_trend_data,0.0
spike_warning,0.0
spike_level_encoded,0.0
