feature,importance
severity_score,0.5045238
cases_total,0.16517402
deaths,0.15801267
log_deaths,0.10285429
log_cases,0.055933308
word_count,0.010145826
avg_sentence_length,0.0011158508
outbreak_relevance_score,0.0010619962
disease_outbreak_count,0.0005755195
week,0.00032249172
disease_country_count,0.00028026817
baseline_avg,0.0
spike_ratio_avg,0.0
year,0.0
month,0.0
search_volume_avg,0.0
search_volume_max,0.0
spike_ratio_max,0.0
numeric_entity_count,0.0
date_entity_count,0.0
person_count,0.0
org_count,0.0
location_count,0.0
entity_count,0.0
net_urgency,0.0
has_who_mention,0.0
escalation_language_flag,0.0
response_keyword_count,0.0
has_disease_in_text,0.0
sentence_count,0.0
has_country_in_text,0.0
risk_keyword_count,0.0
containment_score,0.0
urgency_score,0.0
is_peak_season,0.0
disease_fatality_weight,0.0
disease_risk_score,0.0
country_outbreak_count,0.0
is_endemic_country,0.0
case_fatality_ratio,0.0
has_deaths,0.0
season_risk,0.0
has_cases,0.0
cases_per_death,0.0
has_trend_data,0.0
spike_alert,0.0
spike_warning,0.0
disease_encoded,0.0
season_encoded,0.0
spike_level_encoded,0.0
