year,month,week,severity_score,outbreak_relevance_score,cases_total,deaths,search_volume_avg,search_volume_max,spike_ratio_max,spike_ratio_avg,baseline_avg,entity_count,location_count,org_count,person_count,date_entity_count,numeric_entity_count,has_who_mention,urgency_score,containment_score,net_urgency,risk_keyword_count,response_keyword_count,escalation_language_flag,word_count,sentence_count,avg_sentence_length,has_disease_in_text,has_country_in_text,disease_risk_score,disease_fatality_weight,disease_outbreak_count,is_peak_season,season_risk,country_outbreak_count,disease_country_count,is_endemic_country,case_fatality_ratio,has_deaths,has_cases,log_cases,log_deaths,cases_per_death,has_trend_data,spike_alert,spike_warning,disease_encoded,season_encoded,spike_level_encoded,escalated
2026,6,23,0,4,0,0,11.0,13.0,0.69,0.57,19.1,9,0,5,0,2,0,1,3,4,-1,0,3,0,72,3,24.0,1,0,0.9,0.9,165,0,0.0,4,2,0,0.0,0,0,0.0,0.0,0.0,1,0,0,3,2,0,0
2026,5,22,1,4,0,0,40.0,100.0,9.3,3.78,9.76,7,3,2,2,0,0,1,1,0,1,0,0,0,89,1,89.0,1,1,0.9,0.9,165,1,0.3,61,17,1,0.0,0,0,0.0,0.0,0.0,1,1,1,3,1,3,0
2026,5,22,1,5,0,0,40.0,100.0,9.3,3.78,9.76,3,2,1,0,0,0,1,1,2,-1,0,1,0,70,2,35.0,1,1,0.9,0.9,165,1,0.3,61,17,1,0.0,0,0,0.0,0.0,0.0,1,1,1,3,1,3,0
2026,5,21,2,6,0,0,40.0,100.0,9.3,3.78,9.76,10,2,6,0,1,0,1,6,0,6,0,0,1,80,2,40.0,1,1,0.9,0.9,165,1,0.3,61,17,1,0.0,0,0,0.0,0.0,0.0,1,1,1,3,1,3,1
2026,5,20,2,6,0,0,40.0,100.0,9.3,3.78,9.76,7,6,1,0,0,0,0,6,0,6,0,0,1,50,1,50.0,1,1,0.9,0.9,165,1,0.3,61,17,1,0.0,0,0,0.0,0.0,0.0,1,1,1,3,1,3,1
2019,12,52,1,4,0,5,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,1,0,0,0,6,1,6.0,1,1,0.65,0.55,108,0,0.0,10,5,1,0.0,1,0,0.0,1.7918,0.0,0,0,0,14,0,0,0
2019,12,50,2,5,4217,62,0.0,0.0,0.0,0.0,0.0,4,0,2,0,1,1,0,1,0,1,0,0,0,12,2,6.0,1,0,0.45,0.3,18,0,0.0,1,1,0,0.0147,1,1,8.3471,4.1431,68.02,0,0,0,7,0,0,1
2019,12,50,1,4,0,1,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,1,0,1,0,1,0,0,0,6,1,6.0,1,1,0.5,0.35,51,0,0.0,11,1,0,0.0,1,0,0.0,0.6931,0.0,0,0,0,2,0,0,0
2019,11,48,0,2,1,0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,1,2,0,1,0,1,0,0,0,14,2,7.0,1,0,0.4,0.25,93,0,0.0,17,2,0,0.0,0,1,0.6931,0.0,0.0,0,0,0,11,3,0,0
2019,11,48,1,5,182,6,0.0,0.0,0.0,0.0,0.0,4,0,0,1,1,2,0,2,0,2,0,0,1,16,3,5.3,1,1,0.7,0.65,28,0,0.0,15,9,1,0.033,1,1,5.2095,1.9459,30.33,0,0,0,5,3,0,1
2019,11,48,1,3,86,0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,1,2,0,1,0,1,0,0,0,13,2,6.5,1,1,0.4,0.25,93,0,0.0,7,4,1,0.0,0,1,4.4659,0.0,0.0,0,0,0,11,3,0,0
2019,11,48,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4.0,1,1,0.45,0.3,18,0,0.0,78,1,0,0.0,0,0,0.0,0.0,0.0,0,0,0,7,3,0,0
2019,11,47,1,5,1197,5,0.0,0.0,0.0,0.0,0.0,3,0,0,0,2,1,0,2,0,2,0,0,1,15,3,5.0,1,1,0.5,0.35,51,0,0.0,3,1,0,0.0042,1,1,7.0884,1.7918,239.4,0,0,0,2,3,0,1
2019,11,47,0,2,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,0,1,0,0,0,10,1,10.0,1,1,0.65,0.55,108,0,0.0,1,1,0,0.0,0,0,0.0,0.0,0.0,0,0,0,14,3,0,0
2019,11,47,2,4,0,75,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,1,0,1,0,1,0,0,0,6,1,6.0,1,1,0.5,0.35,51,0,0.0,7,2,0,0.0,1,0,0.0,4.3307,0.0,0,0,0,2,3,0,1
2019,11,46,2,4,0,11,0.0,0.0,0.0,0.0,0.0,3,0,1,0,1,1,0,2,0,2,0,0,1,13,2,6.5,1,1,0.7,0.6,39,1,0.3,3,1,0,0.0,1,0,0.0,2.4849,0.0,0,0,0,12,3,0,1
